,id,ChannelName,ChannelValue,controllers,group,staff_type_name,keysig,defaultClef,longName,shortName,trackName,instrumentId,part_trackName,useDrumset,clef
10 hole a diatonic harmonica,harmonica-d12a,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,10 Hole A Diatonic Harmonica,Harm.,10 Hole A Diatonic Harmonica,wind.reed.harmonica,10 Hole A Diatonic Harmonica,,
10 hole g diatonic harmonica,harmonica-d12-g,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,10 Hole G Diatonic Harmonica,Harm.,10 Hole G Diatonic Harmonica,wind.reed.harmonica,10 Hole G Diatonic Harmonica,,
10 hole low d diatonic harmonica,harmonica-d10low-d,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,10 Hole Low D Diatonic Harmonica,Harm.,10 Hole Low D Diatonic Harmonica,wind.reed.harmonica,10 Hole Low D Diatonic Harmonica,,G8vb
20 hole chordet harmonica,harmonica-chordet,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,20 Hole Chordet Harmonica,Harm.,20 Hole Chordet Harmonica,wind.reed.harmonica,20 Hole Chordet Harmonica,,G8vb
bass harmonica,bass-harmonica,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Harmonica,Bs. Harm.,Bass Harmonica,wind.reed.harmonica.bass,Bass Harmonica,,F
bass hohner harmonica,bass-harmonica-hohner,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Hohner Harmonica,Bs. Harm.,Bass Hohner Harmonica,wind.reed.harmonica.bass,Bass Hohner Harmonica,,F
bass huang harmonica,bass-harmonica-huang,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Huang Harmonica,Bs. Harm.,Bass Huang Harmonica,wind.reed.harmonica.bass,Bass Huang Harmonica,,F
accordion,accordion,[None],[21],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Accordion,Acc.,Accordion,keyboard.accordion,Accordion,,F
bandoneon,bandoneon,[None],[23],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Bandoneon,Ban.,Bandoneon,keyboard.bandoneon,Bandoneon,,F
concertina,concertina,[None],[21],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Concertina,Conc.,Concertina,keyboard.concertina,Concertina,,F
melodica,melodica,[None],[22],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Melodica,Mel.,Melodica,wind.reed.melodica,Melodica,,
sheng,sheng,[None],[20],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Sheng,She.,Sheng,wind.reed.sheng,Sheng,,
soprano sheng,soprano-sheng,[None],[20],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Sheng,S She.,Soprano Sheng,wind.reed.sheng,Soprano Sheng,,
alto sheng,alto-sheng,[None],[20],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,C3,Alto Sheng,A She.,Alto Sheng,wind.reed.sheng,Alto Sheng,,C3
tenor sheng,tenor-sheng,[None],[20],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,C4,Tenor Sheng,T She.,Tenor Sheng,wind.reed.sheng,Tenor Sheng,,C4
bass sheng,bass-sheng,[None],[20],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Sheng,B She.,Bass Sheng,wind.reed.sheng,Bass Sheng,,F
brass,brass,[None],[61],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Brass,Br.,Brass,brass.group,Brass,,F
