,id,ChannelName,ChannelValue,controllers,group,staff_type_name,keysig,defaultClef,longName,shortName,trackName,instrumentId,part_trackName,useDrumset,clef
slap,slap,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Slap,Sla.,Slap,effect.slap,Slap,1.0,PERC
stamp,stamp,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Stamp,Sta.,Stamp,effect.stamp,Stamp,1.0,PERC
quijada,quijada,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Quijada,Qui.,Quijada,rattle.jawbone,Quijada,1.0,PERC
bell plate,bell-plate,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Bell Plate,Be. Pla.,Bell Plate,metal.bells.bell-plate,Bell Plate,1.0,PERC
bowl gongs,bowl-gongs,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Bowl Gongs,Bw. Gon.,Bowl Gongs,metal.gong,Bowl Gongs,1.0,PERC
tubo,tubo,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Tubo,Tu.,Tubo,,Tubo,1.0,PERC
shaker,shaker,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Shaker,Sh.,Shaker,,Shaker,1.0,PERC
bells,bells,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Bells,Be.,Bells,,Bells,1.0,PERC
tablas,tablas,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Tablas,Tbs.,Tablas,drum.tabla,Tablas,1.0,PERC
cuica,cuica,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Cuica,Cu.,Cuica,drum.cuica,Cuica,1.0,PERC
finger cymbals,finger-cymbals,[None],[0],"[[{'ctrl': '0', 'value': '1'}, {'ctrl': '32', 'value': '0'}]]",percussion,perc1Line,0.0,PERC,Finger Cymbals,Fi. Cym.,Finger Cymbals,metal.cymbal.finger,Finger Cymbals,1.0,PERC
tuned klaxon horns,tuned-klaxon-horns,[None],[84],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Tuned Klaxon Horns,Tn. Klx. Hns.,Tuned Klaxon Horns,,Tuned Klaxon Horns,,F
kalimba,kalimba,[None],[108],[[]],pitched,stdNormal,,,Kalimba,Kal.,Kalimba,pitched-percussion.kalimba,Kalimba,,
treble kalimba,treble-kalimba,[None],[108],[[]],pitched,stdNormal,,,Treble Kalimba,Tr. Kal.,Treble Kalimba,pitched-percussion.kalimba,Treble Kalimba,,
alto kalimba,alto-kalimba,[None],[108],[[]],pitched,stdNormal,,,Alto Kalimba,A. Kal.,Alto Kalimba,pitched-percussion.kalimba,Alto Kalimba,,
carillon,carillon,[None],[14],[[]],pitched,stdNormal,,,Carillon,Car.,Carillon,metal.bells.carillon,Carillon,,F
orff soprano xylophone,orff-soprano-xylophone,[None],[12],[[]],pitched,stdNormal,,G8va,Orff Soprano Xylophone,O. S. Xyl.,Orff Soprano Xylophone,pitched-percussion.xylophone.soprano,Orff Soprano Xylophone,,G8va
orff alto xylophone,orff-alto-xylophone,[None],[12],[[]],pitched,stdNormal,,,Orff Alto Xylophone,O. A. Xyl.,Orff Alto Xylophone,pitched-percussion.xylophone.alto,Orff Alto Xylophone,,
orff bass xylophone,orff-bass-xylophone,[None],[12],[[]],pitched,stdNormal,,G8vb,Orff Bass Xylophone,O. B. Xyl.,Orff Bass Xylophone,pitched-percussion.xylophone.soprano,Orff Bass Xylophone,,G8vb
metallophone,metallophone,[None],[11],[[]],pitched,stdNormal,,,Metallophone,Met.,Metallophone,pitched-percussion.metallophone,Metallophone,,
orff soprano metallophone,orff-soprano-metallophone,[None],[11],[[]],pitched,stdNormal,,G8va,Orff Soprano Metallophone,O. S. Met.,Orff Soprano Metallophone,pitched-percussion.metallophone.soprano,Orff Soprano Metallophone,,G8va
orff alto metallophone,orff-alto-metallophone,[None],[11],[[]],pitched,stdNormal,,,Orff Alto Metallophone,O. A. Met.,Orff Alto Metallophone,pitched-percussion.metallophone.alto,Orff Alto Metallophone,,
orff bass metallophone,orff-bass-metallophone,[None],[11],[[]],pitched,stdNormal,,G8vb,Orff Bass Metallophone,O. B. Met.,Orff Bass Metallophone,pitched-percussion.metallophone.bass,Orff Bass Metallophone,,G8vb
chimes,tubular-bells,[None],[14],[[]],pitched,stdNormal,,,Chimes,Cme.,Chimes,pitched-percussion.tubular-bells,Chimes,,
steel drums,steel-drums,[None],[114],[[]],pitched,stdNormal,,,Steel Drums,St. Dr.,Steel Drums,metal.steel-drums,Steel Drums,,F
soprano steel drums,soprano-steel-drums,[None],[114],[[]],pitched,stdNormal,,,Soprano Steel Drums,S. St. Dr.,Soprano Steel Drums,metal.steel-drums,Soprano Steel Drums,,
alto steel drums,alto-steel-drums,[None],[114],[[]],pitched,stdNormal,,,Alto Steel Drums,A. St. Dr.,Alto Steel Drums,metal.steel-drums,Alto Steel Drums,,
guitar steel drums,guitar-steel-drums,[None],[114],[[]],pitched,stdNormal,,,Guitar Steel Drums,Gtr. St. Dr.,Guitar Steel Drums,metal.steel-drums,Guitar Steel Drums,,
tenor steel drums,tenor-steel-drums,[None],[114],[[]],pitched,stdNormal,,G8vb,Tenor Steel Drums,T. St. Dr.,Tenor Steel Drums,metal.steel-drums,Tenor Steel Drums,,G8vb
cello steel drums,cello-steel-drums,[None],[114],[[]],pitched,stdNormal,,G8vb,Cello Steel Drums,Ce. St. Dr.,Cello Steel Drums,metal.steel-drums,Cello Steel Drums,,G8vb
bass steel drums,bass-steel-drums,[None],[114],[[]],pitched,stdNormal,,F,Bass Steel Drums,B. St. Dr.,Bass Steel Drums,metal.steel-drums,Bass Steel Drums,,F
hand bells,hand-bells,[None],[112],[[]],pitched,stdNormal,,,Hand Bells,Ha. Be.,Hand Bells,pitched-percussion.handbells,Hand Bells,,F
tuned gongs,tuned-gongs,[None],[14],[[]],pitched,stdNormal,,F,Tuned Gongs,Td. Gon.,Tuned Gongs,metal.gong,Tuned Gongs,,F
flexatone,flexatone,[None],[14],[[]],pitched,stdNormal,,G8va,Flexatone,Flt.,Flexatone,metal.flexatone,Flexatone,,G8va
musical saw,musical-saw,[None],[92],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Musical Saw,Mu. Sw.,Musical Saw,metal.musical-saw,Musical Saw,,
musical glasses,musical-glasses,[None],[93],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8va,Musical Glasses,Mu. Gla.,Musical Glasses,pitched-percussion.crystal-glasses,Musical Glasses,,G8va
glass harmonica,glass-harmonica,[None],[92],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Glass Harmonica,Gla. Har.,Glass Harmonica,pitched-percussion.glass-harmonica,Glass Harmonica,,
orff soprano glockenspiel,orff-soprano-glockenspiel,[None],[9],[[]],pitched,stdNormal,,G15ma,Orff Soprano Glockenspiel,O. S. Glk.,Orff Soprano Glockenspiel,pitched-percussion.glockenspiel.soprano,Orff Soprano Glockenspiel,,G15ma
orff alto glockenspiel,orff-alto-glockenspiel,[None],[9],[[]],pitched,stdNormal,,G8va,Orff Alto Glockenspiel,O. A. Glk.,Orff Alto Glockenspiel,pitched-percussion.glockenspiel.alto,Orff Alto Glockenspiel,,G8va
crotales,crotales,[None],[10],[[]],pitched,stdNormal,,,Crotales,Crot.,Crotales,metal.crotales,Crotales,,
tubaphone,tubaphone,[None],[47],[[]],pitched,stdNormal,,G15ma,Tubaphone,Tph.,Tubaphone,,Tubaphone,,G15ma
almglocken,almglocken,[None],[108],[[]],pitched,stdNormal,,G15ma,Almglocken,Almg.,Almglocken,metal.bells.almglocken,Almglocken,,G15ma
roto-toms,roto-toms,[None],[117],[[]],pitched,stdNormal,,,Roto-Toms,Roto,Roto-Toms,drum.rototom,Roto-Toms,,
conch,conch,[None],[60],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Conch,Cnch.,Conch,brass.conch-shell,Conch,,F
didgeridoo,didgeridoo,[None],[57],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Didgeridoo,Doo.,Didgeridoo,brass.didgeridoo,Didgeridoo,,F
horagai,horagai,[None],[60],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Horagai,Hor.,Horagai,brass.horagai,Horagai,,F
shofar,shofar,[None],[60],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Shofar,Sho.,Shofar,brass.shofar,Shofar,,G8vb
vuvuzela,vuvuzela,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Vuvuzela,Vuv.,Vuvuzela,brass.vuvuzela,Vuvuzela,,
helicon,helicon,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Helicon,Helicon,Helicon,brass.helicon,Helicon,,F
sousaphone,sousaphone,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Sousaphone,Sphn.,Sousaphone,brass.sousaphone,Sousaphone,,F
b♭ sousaphone,bb-sousaphone,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,B♭ Sousaphone,B♭ Sphn.,B♭ Sousaphone,brass.sousaphone,B♭ Sousaphone,,F
euphonium,euphonium,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Euphonium,Euph.,Euphonium,brass.euphonium,Euphonium,,F
euphonium (treble clef),euphonium-treble,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Euphonium,Euph.,Euphonium (Treble Clef),brass.euphonium,Euphonium (Treble Clef),,
fiscorn,fiscorn,"['open', 'mute']","[56, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Fiscorn,Fsc.,Fiscorn,brass.fiscorn,Fiscorn,,
kuhlohorn,kuhlohorn,"['open', 'mute']","[56, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Kuhlohorn,Klhn.,Kuhlohorn,brass.kuhlohorn,Kuhlohorn,,
euphonium bugle,euphonium-bugle,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Euphonium Bugle,Euph. Bu.,Euphonium Bugle,brass.bugle.euphonium-bugle,Euphonium Bugle,,
mellophone bugle,mellophon-bugle,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Mellophone Bugle,Mello. Bu.,Mellophone Bugle,brass.bugle.mellophone-bugle,Mellophone Bugle,,
contrabass bugle,contrabass-bugle,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Contrabass Bugle,Cb. Bu.,Contrabass Bugle,brass.bugle.contrabass,Contrabass Bugle,,
mellophone,mellophone,[None],[60],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Mellophone,Mello.,Mellophone,brass.mellophone,Mellophone,,
ophicleide,ophicleide,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Ophicleide,Oph.,Ophicleide,brass.ophicleide,Ophicleide,,F
f alto ophicleide,f-alto-ophicleide,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,F Alto Ophicleide,F A. Oph.,F Alto Ophicleide,brass.ophicleide,F Alto Ophicleide,,
e♭ alto ophicleide,eb-alto-ophicleide,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,E♭ Alto Ophicleide,E♭ A. Oph.,E♭ Alto Ophicleide,brass.ophicleide,E♭ Alto Ophicleide,,
c bass ophicleide,c-bass-ophicleide,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,C Bass Ophicleide,C B. Oph.,C Bass Ophicleide,brass.ophicleide,C Bass Ophicleide,,F
b♭ bass ophicleide,bb-bass-ophicleide,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,B♭ Bass Ophicleide,B♭ B. Oph.,B♭ Bass Ophicleide,brass.ophicleide,B♭ Bass Ophicleide,,F
e♭ contrabass ophicleide,eb-contrabass-ophicleide,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,E♭ Contrabass Ophicleide,E♭ Cb. Oph.,E♭ Contrabass Ophicleide,brass.ophicleide,E♭ Contrabass Ophicleide,,F
cornettino,cornettino,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Cornettino,Co.,Cornettino,brass.cornettino,Cornettino,,
cornett,cornett,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Cornett,Co.,Cornett,brass.cornett,Cornett,,
soprano cornett,soprano-cornett,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Cornett,S. Co.,Soprano Cornett,brass.cornett,Soprano Cornett,,
alto cornett,alto-cornett,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Cornett,A. Co.,Alto Cornett,brass.cornett,Alto Cornett,,
tenor cornett,tenor-cornett,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Tenor Cornett,T. Co.,Tenor Cornett,brass.cornett.tenor,Tenor Cornett,,G8vb
serpent,serpent,[None],[56],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Serpent,Spt.,Serpent,brass.serpent,Serpent,,F
alto sackbut,alto-sackbut,[None],[57],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Alto Sackbut,A. Sack.,Alto Sackbut,brass.sackbutt.alto,Alto Sackbut,,G8vb
tenor sackbut,tenor-sackbut,[None],[57],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,G8vb,Tenor Sackbut,T. Sack.,Tenor Sackbut,brass.sackbutt.tenor,Tenor Sackbut,,G8vb
bass sackbut,bass-sackbut,[None],[57],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Bass Sackbut,B. Sack.,Bass Sackbut,brass.sackbutt.bass,Bass Sackbut,,F
rag dung,rag-dung,"['open', 'mute']","[56, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Rag Dung,Rg. Dng.,Rag Dung,brass.rag-dung,Rag Dung,,F
bugle,bugle,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Bugle,Bu.,Bugle,brass.bugle,Bugle,,
soprano bugle,soprano-bugle,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Soprano Bugle,S. Bu.,Soprano Bugle,brass.bugle.soprano,Soprano Bugle,,
alto bugle,alto-bugle,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Alto Bugle,A. Bu.,Alto Bugle,brass.bugle.alto,Alto Bugle,,
baritone bugle,baritone-bugle,[None],[58],"[[{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Baritone Bugle,Bar. Bu.,Baritone Bugle,brass.bugle.baritone,Baritone Bugle,,
saxhorn,saxhorn,"['open', 'mute']","[60, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Saxhorn,Saxhorn,Saxhorn,brass.saxhorn,Saxhorn,,
f alto horn,f-alto-horn,"['open', 'mute']","[60, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,F Alto Horn,F A. Hn.,F Alto Horn,brass.alto-horn,F Alto Horn,,
e♭ alto horn,eb-alto-horn,"['open', 'mute']","[60, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,E♭ Alto Horn,E♭ A. Hn.,E♭ Alto Horn,brass.alto-horn,E♭ Alto Horn,,
baritone horn,baritone-horn,"['open', 'mute']","[60, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Baritone Horn,Bar. Hn.,Baritone Horn,brass.baritone-horn,Baritone Horn,,F
baritone horn (treble clef),baritone-horn-treble,"['open', 'mute']","[60, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Baritone Horn,Bar. Hn.,Baritone Horn (Treble Clef),brass.baritone-horn,Baritone Horn (Treble Clef),,
baritone horn (central europe),baritone-horn-central-europe,"['open', 'mute']","[60, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Baritone Horn,Bar. Hn.,Baritone Horn (Central Europe),brass.baritone-horn,Baritone Horn (Central Europe),,F
"baritone horn (central europe, treble clef)",baritone-horn-central-europe-treble,"['open', 'mute']","[60, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,,Baritone Horn,Bar. Hn.,"Baritone Horn (Central Europe, Treble Clef)",brass.baritone-horn,"Baritone Horn (Central Europe, Treble Clef)",,
posthorn,posthorn,"['open', 'mute']","[60, 59]","[[{'ctrl': '32', 'value': '17'}], [{'ctrl': '32', 'value': '17'}]]",pitched,stdNormal,,F,Posthorn,Psthn.,Posthorn,brass.posthorn,Posthorn,,F
